country,hapiscore,income,energy,gini,gender
Uruguay2007,0.569,14400,950.0,45.8,1.09
Uzbekistan2007,0.594,3530,1780.0,33.5,1.0
Venezuela2007,0.6395,17600,2130.0,48.0,1.08
Vietnam2007,0.542,3850,532.0,36.1,0.968
Yemen2007,0.44799999999999995,4290,324.0,35.0,0.263
Zambia2007,0.4,2800,599.0,54.7,0.818
Zimbabwe2007,0.32799999999999996,1810,787.0,43.2,0.8859999999999999
Albania2008,0.48450000000000004,9160,711.0,30.0,1.01
Algeria2008,0.533,12700,1070.0,29.4,0.883
Angola2008,0.415,6470,492.0,44.1,0.695
Argentina2008,0.596,18600,1940.0,44.9,1.07
Armenia2008,0.465,7560,1030.0,29.6,1.04
Australia2008,0.725,41400,5960.0,35.0,1.02
Austria2008,0.718,44400,4030.0,30.5,0.998
Azerbaijan2008,0.48200000000000004,14600,1520.0,31.8,0.996
Bahrain2008,0.609,42200,11300.0,40.0,1.06
Bangladesh2008,0.505,2320,186.0,32.6,0.737
Belarus2008,0.546,15000,2930.0,28.4,1.05
Belgium2008,0.7120000000000001,41600,5450.0,28.5,1.04
Belize2008,0.6205,7930,567.0,53.3,0.975
Benin2008,0.36700000000000005,1840,377.0,41.3,0.46
Bhutan2008,0.508,5840,314.0,38.4,0.456
Bolivia2008,0.53,5130,579.0,51.8,0.885
Bosnia and Herzegovina2008,0.5105,9850,1590.0,33.1,0.976
Botswana2008,0.545,13700,1100.0,61.7,1.12
Brazil2008,0.669,13900,1290.0,54.3,1.12
Bulgaria2008,0.444,15400,2650.0,34.2,1.06
Cambodia2008,0.446,2450,251.0,42.0,0.7440000000000001
Cameroon2008,0.429,2880,332.0,43.5,0.768
Canada2008,0.7490000000000001,41600,8190.0,33.7,1.01
Chile2008,0.579,19000,1820.0,48.5,1.03
China2008,0.485,7930,1670.0,42.3,0.861
Colombia2008,0.617,10600,669.0,54.7,1.06
Comoros2008,0.39,2380,60.5,51.7,0.767
"Congo, Dem. Rep.2008",0.441,640,308.0,42.1,0.66
"Congo, Rep.2008",0.382,4850,336.0,48.1,0.825
Costa Rica2008,0.685,12700,1030.0,49.2,1.08
Cote d'Ivoire2008,0.4495,2660,522.0,42.8,0.569
Croatia2008,0.5465,22700,2280.0,32.2,1.06
Cuba2008,0.542,6340,958.0,43.2,1.05
Cyprus2008,0.617,36000,2390.0,31.5,1.03
Czech Republic2008,0.6555,29400,4330.0,26.4,1.02
Denmark2008,0.797,45900,3500.0,26.2,1.03
Djibouti2008,0.501,2540,178.0,43.1,0.446
Dominican Republic2008,0.484,10700,772.0,48.7,1.1
Ecuador2008,0.53,9230,672.0,50.5,1.04
Egypt2008,0.46299999999999997,9460,908.0,31.4,0.785
